TITLE,Added,Native 4K,Upscaled 4K,HDR,Dolby Vision,Audio
Widows,,Native 4K,,HDR,,Dolby Atmos True-HD
Wild,,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Wild Things (1998),May 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
Willy Wonka & the Chcolate Factory (1971),,Native 4K,,HDR10,,5.1 DTS-HD-MA
Wonder,,,Upscaled 4K,HDR,Dolby Vision,TrueHD 7.1 (No Atmos)
Wonder Woman 1984 (2020),,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Wonder Woman (2017) - WW84,,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Wonder Woman Bloodlines (2019),,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Wonders Of The Arctic,,Native 4K,,HDR,,7.1
X-Men (2000),,Native 4K,,HDR,,5.1 DTS-HD-MA
X-Men- The Last Stand (2006),,,Upscaled 4K,HDR,,6.1 DTS-HD-MA
X-Men: Apocalypse (2016),,Native 4K,,HDR,,Dolby Atmos True-HD
X-Men: Dark Phoenix (2019),,,Upscaled 4K,HDR10+,,"Dolby Atmos, True-HD 7.1"
X-Men: Days of Future Past (2014),,,Upscaled 4K,HDR,,7.1 DTS-HD-MA
X-Men: First Class (2011),,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
X2: X-Men United (2003),,Native 4K,,,,5.1 DTS-HD-MA
X-Ray (1982),May 2022,Native 4K,,HDR10,,DTS-HD MA 2.0 Mono
Yesterday (2019),Feb 2022,Native 4K,,HDR10+,,"Dolby Atmos, True-HD 7.1"
Zac Synder's Justice League (2021),Feb 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Zero Dark Thirty,,,Upscaled 4K,HDR,,7.1
Zombi: Dawn of the Dead (1978),,Native 4K,,,,5.1 DTS-HD-MA
Zombieland (2009),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Zootopia,,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
